3.416: a16465.
3.417: start
3.895: a3.
3.897: recovery: 4
4.118: a4.
4.342: a4.
4.820: a4.
5.030: a4.
5.506: a4.
5.730: a4.
6.210: a4.
6.433: a4.
6.930: a4.
7.124: a4.
7.363: a4.
7.828: a4.
8.049: a4.
8.532: a4.
8.755: a4.
9.216: a4.
9.439: a65535.
9.665: a30.
9.666: recovery: 32
10.145: a32.
10.350: a32.
10.846: a32.
11.072: a32.
11.551: a65535.
11.774: a8.
11.775: recovery: 7
11.981: a7.
12.479: a7.
12.703: a7.
13.182: a7.
13.420: a7.
13.901: a7.
14.110: a65535.
14.607: a51.
14.609: recovery: 48
14.828: a48.
15.052: a48.
15.500: a48.
15.726: a48.
16.205: a65535.
16.426: a59.
16.427: recovery: 57
16.908: a57.
17.135: a57.
17.626: a57.
17.850: a57.
18.059: a65535.
18.540: a66.
18.555: recovery: 68
18.763: a68.
19.241: a68.
19.464: a68.
19.944: a68.
20.169: a65535.
20.394: a85.
20.395: recovery: 87
20.859: a87.
21.079: a87.
21.559: a87.
21.783: a87.
22.264: a87.
22.486: a87.
22.968: a87.
23.173: a87.
23.400: a87.
23.879: a87.
24.101: a87.
24.581: a87.
24.806: a87.
25.287: a87.
25.508: a87.
25.715: a87.
26.195: a87.
26.419: a87.
26.899: a87.
27.123: a87.
27.603: a87.
27.826: a87.
28.021: a87.
28.500: a87.
28.724: a87.
29.202: a87.
29.425: a87.
29.905: a87.
30.113: a87.
30.321: a87.
30.801: a87.
31.009: a87.
31.488: a87.
31.711: a87.
32.207: a87.
32.431: a87.
32.641: a87.
33.104: a87.
33.327: a87.
33.791: a87.
34.014: a87.
34.493: a87.
34.701: a87.
34.702: end
34.702: chkpt[4]=0
34.743: chkpt[7]=0
34.744: chkpt[32]=0
34.744: chkpt[48]=0
34.744: chkpt[57]=0
34.745: chkpt[68]=0
34.746: chkpt[87]=0
34.746: 502
34.747: 502
34.747: 500
34.748: 502
34.748: 502
34.749: 502
34.749: 502
34.749: start
35.208: a4.
35.415: a4.
35.622: a4.
36.105: a4.
36.326: a4.
36.823: a4.
37.030: a4.
37.525: a4.
37.750: a4.
37.940: a4.
38.436: a4.
38.644: a4.
39.124: a4.
39.351: a4.
39.828: a4.
40.035: a4.
40.259: a32.
40.739: a32.
40.949: a32.
41.427: a32.
41.650: a7.
42.114: a7.
42.338: a7.
42.546: a7.
43.044: a7.
43.250: a7.
43.732: a48.
43.953: a48.
44.432: a48.
44.656: a48.
44.866: a57.
45.328: a57.
45.551: a57.
46.032: a57.
46.258: a68.
46.737: a68.
46.962: a68.
47.152: a68.
47.646: a87.
47.870: a87.
48.350: a87.
48.557: a87.
49.040: a87.
49.262: a87.
49.468: a87.
49.952: a87.
50.156: a87.
50.636: a87.
50.861: a87.
51.340: a87.
51.563: a87.
52.062: a87.
52.252: a87.
52.476: a87.
52.954: a87.
53.161: a87.
53.642: a87.
53.850: a87.
54.060: a87.
54.524: a87.
54.745: a87.
55.228: a87.
55.448: a87.
55.931: a87.
56.152: a87.
56.360: a87.
56.826: a87.
57.032: a87.
57.530: a87.
57.737: a87.
58.230: a87.
58.438: a87.
58.648: a87.
59.126: a87.
59.334: a87.
59.831: a87.
60.038: a87.
60.520: a87.
60.741: a87.
60.935: a87.
61.412: a87.
61.638: a87.
61.639: end
61.667: chkpt[4]=1
61.667: chkpt[7]=1
61.668: chkpt[32]=1
61.668: chkpt[48]=1
61.668: chkpt[57]=1
61.669: chkpt[68]=1
61.669: chkpt[87]=1
61.689: 502
61.689: 502
61.689: 501
61.689: 502
61.690: 502
61.690: 502
61.690: 502
61.690: start
62.168: a4.
62.378: a4.
62.858: a4.
63.079: a4.
63.560: a4.
63.782: a4.
63.989: a4.
64.471: a4.
64.693: a4.
65.172: a4.
65.399: a4.
65.877: a4.
66.102: a4.
66.308: a4.
66.791: a4.
67.013: a4.
67.493: a32.
67.701: a32.
68.178: a32.
68.404: a32.
68.595: a32.
69.077: a65535.
69.298: a39.
69.299: recovery: 7
69.779: a7.
69.985: a7.
70.484: a7.
70.705: a7.
70.912: a7.
71.378: a48.
