8.464: a16464.
8.465: start
8.948: a2.
8.949: recovery: 0
9.153: a0.
9.361: a0.
9.839: a0.
10.063: a0.
10.545: a65535.
10.750: a30.
10.769: recovery: 32
11.231: a32.
11.439: a32.
11.647: a65535.
12.161: a42.
12.163: recovery: 39
12.385: a39.
12.847: a39.
13.056: a39.
13.533: a65535.
13.726: a48.
13.727: recovery: 50
13.933: a50.
14.429: a50.
14.637: a65535.
15.119: a57.
15.133: recovery: 60
15.341: a60.
15.819: a60.
16.029: a65535.
16.238: a68.
16.239: recovery: 69
16.715: a69.
16.923: a69.
17.418: a65535.
17.626: a87.
17.626: recovery: 85
18.106: a85.
18.314: a85.
18.537: a85.
19.004: a85.
19.211: a85.
19.689: a85.
19.913: a85.
20.107: a85.
20.584: a85.
20.791: a85.
21.275: a85.
21.479: a85.
21.962: a85.
22.184: a85.
22.376: a85.
22.857: a85.
22.873: end
22.874: chkpt[0]=0
22.874: chkpt[32]=0
22.886: chkpt[39]=0
22.888: chkpt[50]=0
22.888: chkpt[60]=0
22.889: chkpt[69]=0
22.910: chkpt[85]=0
22.911: 502
22.911: 502
22.912: 502
22.912: 502
22.913: 502
22.913: 502
22.913: 502
22.914: start
23.119: a0.
23.597: a0.
23.805: a0.
24.302: a0.
24.509: a32.
24.990: a32.
25.199: a39.
25.407: a39.
25.885: a50.
26.095: a50.
26.574: a60.
26.781: a69.
26.988: a69.
27.473: a85.
27.675: a85.
28.157: a85.
28.365: a85.
28.843: a85.
29.069: a85.
29.273: a85.
29.740: a85.
29.961: a85.
30.444: a85.
30.649: a85.
31.113: a85.
31.320: a85.
31.528: a85.
31.994: a85.
32.216: a85.
32.680: a85.
32.680: end
32.733: chkpt[0]=1
32.734: chkpt[32]=1
32.736: chkpt[39]=1
32.737: chkpt[50]=1
32.738: chkpt[60]=0
32.739: chkpt[69]=1
32.740: chkpt[85]=1
32.740: 502
32.741: 502
32.742: 502
32.742: 502
32.743: 502
32.743: 502
32.743: 502
32.744: start
32.928: a85.
32.929: 502
32.930: 502
32.931: 502
32.932: 502
32.942: 502
32.943: 502
32.944: 502
32.945: start
33.431: a65535.
33.432: 502
33.432: 502
33.433: 502
33.433: 502
33.434: 502
33.435: 502
33.435: 502
33.436: start
33.640: a3.
33.641: recovery: 4
33.844: a4.
34.327: a4.
34.535: a4.
35.014: a4.
35.238: a4.
35.699: a4.
35.908: a32.
36.134: a32.
36.594: a32.
36.818: a65535.
37.301: a42.
37.302: recovery: 41
37.506: a41.
37.986: a41.
38.196: a50.
38.404: a50.
38.881: a60.
39.105: a69.
39.569: a69.
39.778: a85.
40.001: a85.
40.464: a85.
40.672: a85.
41.152: a85.
41.358: a85.
41.839: a85.
42.064: a85.
42.270: a85.
42.735: a85.
42.961: a85.
43.438: a85.
43.647: a85.
44.141: a85.
44.352: a85.
44.541: a85.
45.021: a85.
45.022: end
45.071: chkpt[0]=2
